Options: Namespace(adapt_features=True, batch_normalisation='basic', batch_size=4, blur_heuristic=True, checkpoint_dir='./checkpoint/blur_heuristic', classifier='versa', clip_length=8, context_shot=5, context_video_type='clean', data_path='../dataset/orbit_benchmark_224', epochs=5, feature_adaptation_method='generate', feature_extractor='efficientnetb0', frame_size=224, from_checkpoint=False, gpu=0, learn_extractor=False, learning_rate=0.0001, log_dir='./logs/blur_heuristic', mode='train_test', model_path=None, no_preload_clips=False, num_lite_samples=4, preload_clips=True, pretrained_extractor_path='features/pretrained/efficientnetb0_imagenet_224.pth', print_by_step=True, subsample_factor=1, target_shot=2, target_video_type='clutter', tasks_per_batch=16, test_context_num_clips=8, test_context_shot_method='max', test_set='test', test_target_num_clips='max', test_target_shot_method='max', test_tasks_per_user=5, test_way_method='max', train_context_num_clips=4, train_context_shot_method='random', train_object_cap=15, train_target_num_clips=4, train_target_shot_method='random', train_task_type='user_centric', train_tasks_per_user=50, train_way_method='random', use_two_gpus=False, validation_on_epoch=5, with_lite=True, with_train_shot_caps=False)

Checkpoint Directory: ./checkpoint/blur_heuristic/2021-11-08-04-11-54

epoch [1/5][1/2200], train loss: 27.4966736, frame_acc: 100.00, time/task: 0m03s
epoch [1/5][2/2200], train loss: 15.2726040, frame_acc: 50.00, time/task: 0m04s
epoch [1/5][3/2200], train loss: 79.7019196, frame_acc: 50.00, time/task: 0m05s
epoch [1/5][4/2200], train loss: 8.4761515, frame_acc: 75.00, time/task: 0m03s
epoch [1/5][5/2200], train loss: 46.9101219, frame_acc: 100.00, time/task: 0m07s
epoch [1/5][6/2200], train loss: 0.7519664, frame_acc: 100.00, time/task: 0m01s
epoch [1/5][7/2200], train loss: 59.9346237, frame_acc: 25.00, time/task: 0m07s
epoch [1/5][8/2200], train loss: 70.0729065, frame_acc: 50.00, time/task: 0m09s
epoch [1/5][9/2200], train loss: 5.1373615, frame_acc: 50.00, time/task: 0m02s
epoch [1/5][10/2200], train loss: 0.8565007, frame_acc: 100.00, time/task: 0m02s
epoch [1/5][11/2200], train loss: 8.0277901, frame_acc: 75.00, time/task: 0m03s
epoch [1/5][12/2200], train loss: 33.4681931, frame_acc: 25.00, time/task: 0m05s
epoch [1/5][13/2200], train loss: 0.0000619, frame_acc: 100.00, time/task: 0m01s
epoch [1/5][14/2200], train loss: 36.6965332, frame_acc: 25.00, time/task: 0m03s
epoch [1/5][15/2200], train loss: 16.2356129, frame_acc: 75.00, time/task: 0m06s
epoch [1/5][16/2200], train loss: 0.2326276, frame_acc: 50.00, time/task: 0m00s
epoch [1/5][17/2200], train loss: 32.2098427, frame_acc: 50.00, time/task: 0m07s
epoch [1/5][18/2200], train loss: 1.0300139, frame_acc: 100.00, time/task: 0m03s
epoch [1/5][19/2200], train loss: 54.0290451, frame_acc: 50.00, time/task: 0m06s
epoch [1/5][20/2200], train loss: 13.7995005, frame_acc: 25.00, time/task: 0m03s
epoch [1/5][21/2200], train loss: 2.6004603, frame_acc: 100.00, time/task: 0m03s
epoch [1/5][22/2200], train loss: 5.8292456, frame_acc: 100.00, time/task: 0m03s
epoch [1/5][23/2200], train loss: 12.9187517, frame_acc: 75.00, time/task: 0m02s
epoch [1/5][24/2200], train loss: 97.9372025, frame_acc: 75.00, time/task: 0m11s
epoch [1/5][25/2200], train loss: 25.7055435, frame_acc: 25.00, time/task: 0m05s
epoch [1/5][26/2200], train loss: 27.5576019, frame_acc: 50.00, time/task: 0m12s
epoch [1/5][27/2200], train loss: 15.5720291, frame_acc: 0.00, time/task: 0m02s
epoch [1/5][28/2200], train loss: 0.0000623, frame_acc: 100.00, time/task: 0m02s
epoch [1/5][29/2200], train loss: 20.1188316, frame_acc: 75.00, time/task: 0m08s
epoch [1/5][30/2200], train loss: 31.6607933, frame_acc: 75.00, time/task: 0m08s
epoch [1/5][31/2200], train loss: 99.0606766, frame_acc: 75.00, time/task: 0m07s
epoch [1/5][32/2200], train loss: 24.6588898, frame_acc: 75.00, time/task: 0m02s
epoch [1/5][33/2200], train loss: 329.0149536, frame_acc: 75.00, time/task: 0m31s
epoch [1/5][34/2200], train loss: 29.3883705, frame_acc: 25.00, time/task: 0m04s
epoch [1/5][35/2200], train loss: 0.4101805, frame_acc: 100.00, time/task: 0m02s
epoch [1/5][36/2200], train loss: 5.3014140, frame_acc: 75.00, time/task: 0m02s
epoch [1/5][37/2200], train loss: 14.0905075, frame_acc: 50.00, time/task: 0m02s
epoch [1/5][38/2200], train loss: 16.8040943, frame_acc: 50.00, time/task: 0m02s
epoch [1/5][39/2200], train loss: 30.0901299, frame_acc: 0.00, time/task: 0m04s
epoch [1/5][40/2200], train loss: 0.0000844, frame_acc: 100.00, time/task: 0m02s
epoch [1/5][41/2200], train loss: 21.4851742, frame_acc: 50.00, time/task: 0m13s
epoch [1/5][42/2200], train loss: 105.7113495, frame_acc: 75.00, time/task: 0m09s
epoch [1/5][43/2200], train loss: 108.2158127, frame_acc: 100.00, time/task: 0m15s
epoch [1/5][44/2200], train loss: 3.7505066, frame_acc: 100.00, time/task: 0m02s
epoch [1/5][45/2200], train loss: 28.8614883, frame_acc: 25.00, time/task: 0m04s
epoch [1/5][46/2200], train loss: 0.1702916, frame_acc: 100.00, time/task: 0m02s
epoch [1/5][47/2200], train loss: 2.2999043, frame_acc: 100.00, time/task: 0m01s
epoch [1/5][48/2200], train loss: 0.1313315, frame_acc: 100.00, time/task: 0m00s
epoch [1/5][49/2200], train loss: 8.4754095, frame_acc: 75.00, time/task: 0m04s
epoch [1/5][50/2200], train loss: 2.9007487, frame_acc: 100.00, time/task: 0m02s
epoch [1/5][51/2200], train loss: 417.1773987, frame_acc: 75.00, time/task: 0m25s
epoch [1/5][52/2200], train loss: 0.6047679, frame_acc: 100.00, time/task: 0m02s
epoch [1/5][53/2200], train loss: 0.7725787, frame_acc: 75.00, time/task: 0m01s
epoch [1/5][54/2200], train loss: 7.0051727, frame_acc: 75.00, time/task: 0m01s
epoch [1/5][55/2200], train loss: 18.7572441, frame_acc: 75.00, time/task: 0m03s
epoch [1/5][56/2200], train loss: 23.9037647, frame_acc: 25.00, time/task: 0m04s
epoch [1/5][57/2200], train loss: 53.8266144, frame_acc: 25.00, time/task: 0m06s
epoch [1/5][58/2200], train loss: 1.1924931, frame_acc: 75.00, time/task: 0m01s
epoch [1/5][59/2200], train loss: 0.0000645, frame_acc: 100.00, time/task: 0m01s
