Options: Namespace(adapt_features=True, batch_normalisation='basic', batch_size=4, checkpoint_dir='checkpoint/runorbit_v2', classifier='versa', clip_length=8, context_shot=5, context_video_type='clean', data_path='../dataset/orbit_benchmark_224', epochs=10, feature_adaptation_method='generate', feature_extractor='efficientnetb0', frame_size=224, gpu=0, learn_extractor=False, learning_rate=0.0001, mode='train_test', model_path=None, no_preload_clips=False, num_lite_samples=4, preload_clips=True, pretrained_extractor_path='features/pretrained/efficientnetb0_imagenet_224.pth', print_by_step=True, subsample_factor=1, target_shot=2, target_video_type='clutter', tasks_per_batch=16, test_context_num_clips=8, test_context_shot_method='max', test_set='test', test_target_num_clips='max', test_target_shot_method='max', test_tasks_per_user=5, test_way_method='max', train_context_num_clips=4, train_context_shot_method='random', train_object_cap=15, train_target_num_clips=4, train_target_shot_method='random', train_task_type='user_centric', train_tasks_per_user=50, train_way_method='random', use_two_gpus=False, validation_on_epoch=5, with_lite=True, with_train_shot_caps=False)

Checkpoint Directory: checkpoint/runorbit_v2/2021-11-02-22-07-56

epoch [1/10][1/2200], train loss: 27.4976845, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][2/2200], train loss: 15.2735491, frame_acc: 50.00, time/task: 0m03s
epoch [1/10][3/2200], train loss: 79.7024841, frame_acc: 50.00, time/task: 0m04s
epoch [1/10][4/2200], train loss: 8.4759598, frame_acc: 75.00, time/task: 0m03s
epoch [1/10][5/2200], train loss: 46.9095268, frame_acc: 100.00, time/task: 0m05s
epoch [1/10][6/2200], train loss: 0.7517369, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][7/2200], train loss: 59.9343262, frame_acc: 25.00, time/task: 0m04s
epoch [1/10][8/2200], train loss: 70.0731659, frame_acc: 50.00, time/task: 0m05s
epoch [1/10][9/2200], train loss: 5.1372213, frame_acc: 50.00, time/task: 0m02s
epoch [1/10][10/2200], train loss: 0.8564461, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][11/2200], train loss: 8.0286427, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][12/2200], train loss: 33.4680367, frame_acc: 25.00, time/task: 0m04s
epoch [1/10][13/2200], train loss: 0.0000619, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][14/2200], train loss: 36.6961594, frame_acc: 25.00, time/task: 0m02s
epoch [1/10][15/2200], train loss: 16.2363281, frame_acc: 75.00, time/task: 0m04s
epoch [1/10][16/2200], train loss: 0.2325565, frame_acc: 50.00, time/task: 0m00s
epoch [1/10][17/2200], train loss: 32.2145119, frame_acc: 50.00, time/task: 0m05s
epoch [1/10][18/2200], train loss: 1.0291991, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][19/2200], train loss: 54.0458679, frame_acc: 50.00, time/task: 0m04s
epoch [1/10][20/2200], train loss: 13.7977047, frame_acc: 25.00, time/task: 0m02s
epoch [1/10][21/2200], train loss: 2.6003020, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][22/2200], train loss: 5.8304491, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][23/2200], train loss: 12.9218760, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][24/2200], train loss: 97.9406662, frame_acc: 75.00, time/task: 0m06s
epoch [1/10][25/2200], train loss: 25.7213249, frame_acc: 25.00, time/task: 0m04s
epoch [1/10][26/2200], train loss: 27.5734730, frame_acc: 50.00, time/task: 0m06s
epoch [1/10][27/2200], train loss: 15.5691814, frame_acc: 0.00, time/task: 0m02s
epoch [1/10][28/2200], train loss: 0.0000624, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][29/2200], train loss: 20.1109982, frame_acc: 75.00, time/task: 0m05s
epoch [1/10][30/2200], train loss: 31.6507587, frame_acc: 75.00, time/task: 0m05s
epoch [1/10][31/2200], train loss: 99.0500488, frame_acc: 75.00, time/task: 0m05s
epoch [1/10][32/2200], train loss: 24.6482372, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][33/2200], train loss: 329.0689087, frame_acc: 75.00, time/task: 0m12s
epoch [1/10][34/2200], train loss: 29.3744221, frame_acc: 25.00, time/task: 0m03s
epoch [1/10][35/2200], train loss: 0.4104170, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][36/2200], train loss: 5.3015141, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][37/2200], train loss: 14.0825558, frame_acc: 50.00, time/task: 0m02s
epoch [1/10][38/2200], train loss: 16.7755051, frame_acc: 50.00, time/task: 0m02s
epoch [1/10][39/2200], train loss: 30.0869141, frame_acc: 0.00, time/task: 0m03s
epoch [1/10][40/2200], train loss: 0.0000845, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][41/2200], train loss: 21.4900036, frame_acc: 50.00, time/task: 0m08s
